,Species,Number of Specimens
204,Lepidothrix suavissima,20
205,Zimmerius gracilipes,20
206,Picumnus aurifrons,20
207,Cyanerpes caeruleus,19
208,Micrastur gilvicollis,19
209,Bucco tamatia,19
210,Malacoptila fusca,19
211,Nannochordeiles pusillus,19
212,Piprites chloris,18
213,Brotogeris versicolurus,18
214,Saltator maximus,18
215,Chloroceryle inda,18
216,Taraba major,18
217,Neopelma chrysocephalum,18
218,Mazaria propinqua,18
219,Todirostrum maculatum,18
220,Catharus fuscescens,18
221,Hemitriccus margaritaceiventer,18
222,Myrmornis torquata,18
223,Nasica longirostris,17
224,Picumnus cirratus,17
225,Campylorhamphus procurvoides,17
226,Myiopagis flavivertex,16
227,Pteroglossus aracari,16
228,Serpophaga hypoleuca,16
229,Mionectes roraimae,16
230,Vireo olivaceus,16
231,Chlorestes notata,16
232,Schiffornis major,16
233,Saltator coerulescens,16
234,Cranioleuca gutturata,16
235,Myrmotherula klagesi,16
236,Nyctidromus albicollis,16
237,Cathartes aura,16
238,Capito auratus,16
239,Percnostola subcristata,15
240,Platyrinchus mystaceus,15
241,Formicarius analis,15
242,Columbina passerina,15
243,Certhiaxis mustelinus,15
244,Micrastur ruficollis,15
245,Veniliornis affinis,15
246,Myrmotherula cherriei,15
247,Aprositornis disjuncta,15
248,Nyctidromus nigrescens,15
249,Sakesphorus luctuosus,15
250,Galbula galbula,15
251,Leptopogon amaurocephalus,15
252,Tangara palmarum,15
253,Trogon melanurus,15
254,Lanio fulvus,14
255,Phaethornis aethopygus,14
256,Laniocera hypopyrra,14
257,Amazilia versicolor,14
258,Tolmomyias assimilis,14
259,Machaeropterus pyrocephalus,14
260,Machaeropterus striolatus,14
261,Cercomacra carbonaria,14
262,Chrysomus icterocephalus,14
263,Anabacerthia ruficaudata,14
264,Campylorhamphus trochilirostris,14
265,Pitangus sulphuratus,14
266,Galbula leucogastra,14
267,Chlorophanes spiza,13
268,Colaptes punctigula,13
269,Myiodynastes maculatus,13
270,Hydropsalis climacocerca,13
271,Dolospingus fringilloides,13
272,Myrmelastes schistaceus,13
273,Tyranneutes stolzmanni,13
274,Pachyramphus polychopterus,12
275,Myrmelastes hyperythrus,12
276,Piculus flavigula,12
277,Capito aurovirens,12
278,Hemitriccus inornatus,12
279,Hemitriccus zosterops,12
280,Megascops choliba,11
281,Myiarchus ferox,11
282,Dysithamnus mentalis,11
283,Pteroglossus viridis,11
284,Picumnus exilis,11
285,Attila cinnamomeus,11
286,Lepidocolaptes albolineatus,11
287,Brotogeris chrysoptera,11
288,Progne tapera,11
289,Cranioleuca vulpina,11
290,Cyclarhis gujanensis,11
291,Ramphastos vitellinus,11
292,Epinecrophylla amazonica,11
293,Turdus leucops,11
294,Myrmotherula iheringi,11
295,Dacnis cayana,11
296,Volatinia jacarina,11
297,Heliodoxa aurescens,11
298,Thamnomanes schistogynus,11
299,Florisuga mellivora,11
300,Myrmothera campanisona,10
301,Myiopagis gaimardii,10
302,Ramphocaenus melanurus,10
303,Phoenicircus carnifex,10
304,Henicorhina leucosticta,10
305,Hylophilus semicinereus,10
306,Celeus grammicus,10
307,Pyrrhura melanura,10
308,Elaenia parvirostris,10
309,Frederickena unduliger,10
310,Trogon violaceus,10
311,Elaenia flavogaster,10
312,Monasa atra,10
313,Synallaxis albescens,10
314,Myrmotherula multostriata,10
315,Euphonia minuta,10
316,Paroaria gularis,10
317,Galbula tombacea,10
318,Celeus flavus,10
319,Pauxi tuberosa,10
320,Jacamerops aureus,10
321,Furnarius leucopus,9
322,Pachyramphus castaneus,9
323,Amazilia viridigaster,9
